round,method,score,best_score,params,controller_values,controller_counts
0,random,0.9583368809422449,-1,"{'n_estimators': 150, 'max_depth': 20}","{'random': np.float64(0.9166737618844898), 'optuna': 0.0, 'sh': 0.0, 'hb': 0.0}","{'random': 1, 'optuna': 0, 'sh': 0, 'hb': 0}"
1,optuna,0.9583368809422449,0.9583368809422449,"{'n_estimators': 175, 'max_depth': 8}","{'random': np.float64(0.9166737618844898), 'optuna': 0.9166737618844898, 'sh': 0.0, 'hb': 0.0}","{'random': 1, 'optuna': 1, 'sh': 0, 'hb': 0}"
2,sh,0.9437037037037037,0.9583368809422449,"{'n_estimators': 50, 'max_depth': 15}","{'random': np.float64(0.9166737618844898), 'optuna': 0.9166737618844898, 'sh': np.float64(0.8874074074074074), 'hb': 0.0}","{'random': 1, 'optuna': 1, 'sh': 1, 'hb': 0}"
3,hb,0.9583368809422449,0.9583368809422449,"{'n_estimators': 280, 'max_depth': 5}","{'random': np.float64(0.9166737618844898), 'optuna': 0.9166737618844898, 'sh': np.float64(0.8874074074074074), 'hb': np.float64(0.9166737618844898)}","{'random': 1, 'optuna': 1, 'sh': 1, 'hb': 1}"
4,random,0.9583368809422449,0.9583368809422449,"{'n_estimators': 50, 'max_depth': 5}","{'random': np.float64(0.9166737618844898), 'optuna': 0.9166737618844898, 'sh': np.float64(0.8874074074074074), 'hb': np.float64(0.9166737618844898)}","{'random': 2, 'optuna': 1, 'sh': 1, 'hb': 1}"
5,sh,0.9545817145817146,0.9583368809422449,"{'n_estimators': 100, 'max_depth': 15}","{'random': np.float64(0.9166737618844898), 'optuna': 0.9166737618844898, 'sh': np.float64(0.8982854182854183), 'hb': np.float64(0.9166737618844898)}","{'random': 2, 'optuna': 1, 'sh': 2, 'hb': 1}"
6,random,0.9583368809422449,0.9583368809422449,"{'n_estimators': 50, 'max_depth': None}","{'random': np.float64(0.9166737618844898), 'optuna': 0.9166737618844898, 'sh': np.float64(0.8982854182854183), 'hb': np.float64(0.9166737618844898)}","{'random': 3, 'optuna': 1, 'sh': 2, 'hb': 1}"
7,sh,0.9437037037037037,0.9583368809422449,"{'n_estimators': 50, 'max_depth': 15}","{'random': np.float64(0.9166737618844898), 'optuna': 0.9166737618844898, 'sh': np.float64(0.8946594146594147), 'hb': np.float64(0.9166737618844898)}","{'random': 3, 'optuna': 1, 'sh': 3, 'hb': 1}"
8,random,0.9583368809422449,0.9583368809422449,"{'n_estimators': 100, 'max_depth': 10}","{'random': np.float64(0.9166737618844898), 'optuna': 0.9166737618844898, 'sh': np.float64(0.8946594146594147), 'hb': np.float64(0.9166737618844898)}","{'random': 4, 'optuna': 1, 'sh': 3, 'hb': 1}"
9,random,0.9583368809422449,0.9583368809422449,"{'n_estimators': 50, 'max_depth': 20}","{'random': np.float64(0.9166737618844898), 'optuna': 0.9166737618844898, 'sh': np.float64(0.8946594146594147), 'hb': np.float64(0.9166737618844898)}","{'random': 5, 'optuna': 1, 'sh': 3, 'hb': 1}"
0,random,0.28086013523829095,-1,"{'n_estimators': 150, 'max_depth': None}","{'random': np.float64(-0.4382797295234181), 'optuna': 0.0, 'sh': 0.0, 'hb': 0.0}","{'random': 1, 'optuna': 0, 'sh': 0, 'hb': 0}"
1,optuna,0.25016158314194353,0.28086013523829095,"{'n_estimators': 126, 'max_depth': 19}","{'random': np.float64(-0.4382797295234181), 'optuna': -0.49967683371611293, 'sh': 0.0, 'hb': 0.0}","{'random': 1, 'optuna': 1, 'sh': 0, 'hb': 0}"
2,sh,0.18176896429139683,0.28086013523829095,"{'n_estimators': 50, 'max_depth': 20}","{'random': np.float64(-0.4382797295234181), 'optuna': -0.49967683371611293, 'sh': np.float64(-0.6364620714172063), 'hb': 0.0}","{'random': 1, 'optuna': 1, 'sh': 1, 'hb': 0}"
